ProductKey,ProductName,ModelName,SubCategory,Category,StandardCost,Color
223,AWC Logo Cap,Cycling Cap,Caps,Clothing,5.7052,Multi
224,AWC Logo Cap,Cycling Cap,Caps,Clothing,5.2297,Multi
225,AWC Logo Cap,Cycling Cap,Caps,Clothing,6.9223,Multi
226,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Jerseys,Clothing,31.7244,Multi
227,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Jerseys,Clothing,29.0807,Multi
228,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.4923,Multi
229,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Jerseys,Clothing,31.7244,Multi
230,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Jerseys,Clothing,29.0807,Multi
231,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.4923,Multi
232,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Jerseys,Clothing,31.7244,Multi
233,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Jerseys,Clothing,29.0807,Multi
234,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.4923,Multi
235,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Jerseys,Clothing,31.7244,Multi
236,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Jerseys,Clothing,29.0807,Multi
237,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.4923,Multi
238,"HL Road Frame - Red, 62",HL Road Frame,Road Frames,Components,747.9682,Red
239,"HL Road Frame - Red, 62",HL Road Frame,Road Frames,Components,722.2568,Red
240,"HL Road Frame - Red, 62",HL Road Frame,Road Frames,Components,868.6342,Red
241,"HL Road Frame - Red, 44",HL Road Frame,Road Frames,Components,747.9682,Red
242,"HL Road Frame - Red, 44",HL Road Frame,Road Frames,Components,722.2568,Red
243,"HL Road Frame - Red, 44",HL Road Frame,Road Frames,Components,868.6342,Red
244,"HL Road Frame - Red, 48",HL Road Frame,Road Frames,Components,747.9682,Red
245,"HL Road Frame - Red, 48",HL Road Frame,Road Frames,Components,722.2568,Red
210,"HL Road Frame - Black, 58",HL Road Frame,Road Frames,Components,,Black
211,"HL Road Frame - Red, 58",HL Road Frame,Road Frames,Components,,Red
246,"HL Road Frame - Red, 48",HL Road Frame,Road Frames,Components,868.6342,Red
247,"HL Road Frame - Red, 52",HL Road Frame,Road Frames,Components,747.9682,Red
248,"HL Road Frame - Red, 52",HL Road Frame,Road Frames,Components,722.2568,Red
249,"HL Road Frame - Red, 52",HL Road Frame,Road Frames,Components,868.6342,Red
250,"HL Road Frame - Red, 56",HL Road Frame,Road Frames,Components,747.9682,Red
251,"HL Road Frame - Red, 56",HL Road Frame,Road Frames,Components,722.2568,Red
252,"HL Road Frame - Red, 56",HL Road Frame,Road Frames,Components,868.6342,Red
253,"LL Road Frame - Black, 58",LL Road Frame,Road Frames,Components,176.1997,Black
254,"LL Road Frame - Black, 58",LL Road Frame,Road Frames,Components,170.1428,Black
255,"LL Road Frame - Black, 58",LL Road Frame,Road Frames,Components,204.6251,Black
256,"LL Road Frame - Black, 60",LL Road Frame,Road Frames,Components,176.1997,Black
257,"LL Road Frame - Black, 60",LL Road Frame,Road Frames,Components,170.1428,Black
258,"LL Road Frame - Black, 60",LL Road Frame,Road Frames,Components,204.6251,Black
259,"LL Road Frame - Black, 62",LL Road Frame,Road Frames,Components,176.1997,Black
260,"LL Road Frame - Black, 62",LL Road Frame,Road Frames,Components,170.1428,Black
261,"LL Road Frame - Black, 62",LL Road Frame,Road Frames,Components,204.6251,Black
262,"LL Road Frame - Red, 44",LL Road Frame,Road Frames,Components,181.4857,Red
263,"LL Road Frame - Red, 44",LL Road Frame,Road Frames,Components,187.1571,Red
264,"LL Road Frame - Red, 48",LL Road Frame,Road Frames,Components,181.4857,Red
265,"LL Road Frame - Red, 48",LL Road Frame,Road Frames,Components,187.1571,Red
266,"LL Road Frame - Red, 52",LL Road Frame,Road Frames,Components,181.4857,Red
267,"LL Road Frame - Red, 52",LL Road Frame,Road Frames,Components,187.1571,Red
268,"LL Road Frame - Red, 58",LL Road Frame,Road Frames,Components,181.4857,Red
269,"LL Road Frame - Red, 58",LL Road Frame,Road Frames,Components,187.1571,Red
270,"LL Road Frame - Red, 60",LL Road Frame,Road Frames,Components,181.4857,Red
271,"LL Road Frame - Red, 60",LL Road Frame,Road Frames,Components,187.1571,Red
272,"LL Road Frame - Red, 62",LL Road Frame,Road Frames,Components,181.4857,Red
273,"LL Road Frame - Red, 62",LL Road Frame,Road Frames,Components,187.1571,Red
274,"ML Road Frame - Red, 44",ML Road Frame,Road Frames,Components,352.1394,Red
275,"ML Road Frame - Red, 48",ML Road Frame,Road Frames,Components,352.1394,Red
276,"ML Road Frame - Red, 52",ML Road Frame,Road Frames,Components,352.1394,Red
277,"ML Road Frame - Red, 58",ML Road Frame,Road Frames,Components,352.1394,Red
278,"ML Road Frame - Red, 60",ML Road Frame,Road Frames,Components,352.1394,Red
279,"LL Road Frame - Black, 44",LL Road Frame,Road Frames,Components,176.1997,Black
280,"LL Road Frame - Black, 44",LL Road Frame,Road Frames,Components,170.1428,Black
281,"LL Road Frame - Black, 44",LL Road Frame,Road Frames,Components,204.6251,Black
282,"LL Road Frame - Black, 48",LL Road Frame,Road Frames,Components,176.1997,Black
283,"LL Road Frame - Black, 48",LL Road Frame,Road Frames,Components,170.1428,Black
284,"LL Road Frame - Black, 48",LL Road Frame,Road Frames,Components,204.6251,Black
285,"LL Road Frame - Black, 52",LL Road Frame,Road Frames,Components,176.1997,Black
286,"LL Road Frame - Black, 52",LL Road Frame,Road Frames,Components,170.1428,Black
287,"LL Road Frame - Black, 52",LL Road Frame,Road Frames,Components,204.6251,Black
310,"Road-150 Red, 62",Road-150,Road Bikes,Bikes,2171.2942,Red
311,"Road-150 Red, 44",Road-150,Road Bikes,Bikes,2171.2942,Red
312,"Road-150 Red, 48",Road-150,Road Bikes,Bikes,2171.2942,Red
313,"Road-150 Red, 52",Road-150,Road Bikes,Bikes,2171.2942,Red
314,"Road-150 Red, 56",Road-150,Road Bikes,Bikes,2171.2942,Red
315,"Road-450 Red, 58",Road-450,Road Bikes,Bikes,884.7083,Red
316,"Road-450 Red, 60",Road-450,Road Bikes,Bikes,884.7083,Red
317,"Road-450 Red, 44",Road-450,Road Bikes,Bikes,884.7083,Red
318,"Road-450 Red, 48",Road-450,Road Bikes,Bikes,884.7083,Red
319,"Road-450 Red, 52",Road-450,Road Bikes,Bikes,884.7083,Red
320,"Road-650 Red, 58",Road-650,Road Bikes,Bikes,413.1463,Red
321,"Road-650 Red, 58",Road-650,Road Bikes,Bikes,486.7066,Red
322,"Road-650 Red, 60",Road-650,Road Bikes,Bikes,413.1463,Red
323,"Road-650 Red, 60",Road-650,Road Bikes,Bikes,486.7066,Red
324,"Road-650 Red, 62",Road-650,Road Bikes,Bikes,413.1463,Red
325,"Road-650 Red, 62",Road-650,Road Bikes,Bikes,486.7066,Red
326,"Road-650 Red, 44",Road-650,Road Bikes,Bikes,413.1463,Red
327,"Road-650 Red, 44",Road-650,Road Bikes,Bikes,486.7066,Red
328,"Road-650 Red, 48",Road-650,Road Bikes,Bikes,413.1463,Red
329,"Road-650 Red, 48",Road-650,Road Bikes,Bikes,486.7066,Red
330,"Road-650 Red, 52",Road-650,Road Bikes,Bikes,413.1463,Red
331,"Road-650 Red, 52",Road-650,Road Bikes,Bikes,486.7066,Red
332,"Road-650 Black, 58",Road-650,Road Bikes,Bikes,413.1463,Black
333,"Road-650 Black, 58",Road-650,Road Bikes,Bikes,486.7066,Black
334,"Road-650 Black, 60",Road-650,Road Bikes,Bikes,413.1463,Black
335,"Road-650 Black, 60",Road-650,Road Bikes,Bikes,486.7066,Black
336,"Road-650 Black, 62",Road-650,Road Bikes,Bikes,413.1463,Black
337,"Road-650 Black, 62",Road-650,Road Bikes,Bikes,486.7066,Black
338,"Road-650 Black, 44",Road-650,Road Bikes,Bikes,413.1463,Black
339,"Road-650 Black, 44",Road-650,Road Bikes,Bikes,486.7066,Black
340,"Road-650 Black, 48",Road-650,Road Bikes,Bikes,413.1463,Black
341,"Road-650 Black, 48",Road-650,Road Bikes,Bikes,486.7066,Black
342,"Road-650 Black, 52",Road-650,Road Bikes,Bikes,413.1463,Black
343,"Road-650 Black, 52",Road-650,Road Bikes,Bikes,486.7066,Black
368,"Road-250 Red, 44",Road-250,Road Bikes,Bikes,1518.7864,Red
369,"Road-250 Red, 48",Road-250,Road Bikes,Bikes,1518.7864,Red
370,"Road-250 Red, 52",Road-250,Road Bikes,Bikes,1518.7864,Red
371,"Road-250 Red, 58",Road-250,Road Bikes,Bikes,1320.6838,Red
372,"Road-250 Red, 58",Road-250,Road Bikes,Bikes,1554.9479,Red
373,"Road-250 Black, 44",Road-250,Road Bikes,Bikes,1320.6838,Black
374,"Road-250 Black, 44",Road-250,Road Bikes,Bikes,1554.9479,Black
375,"Road-250 Black, 48",Road-250,Road Bikes,Bikes,1320.6838,Black
376,"Road-250 Black, 48",Road-250,Road Bikes,Bikes,1554.9479,Black
377,"Road-250 Black, 52",Road-250,Road Bikes,Bikes,1320.6838,Black
378,"Road-250 Black, 52",Road-250,Road Bikes,Bikes,1554.9479,Black
379,"Road-250 Black, 58",Road-250,Road Bikes,Bikes,1320.6838,Black
380,"Road-250 Black, 58",Road-250,Road Bikes,Bikes,1554.9479,Black
381,"Road-550-W Yellow, 38",Road-550-W,Road Bikes,Bikes,605.6492,Yellow
382,"Road-550-W Yellow, 38",Road-550-W,Road Bikes,Bikes,713.0798,Yellow
383,"Road-550-W Yellow, 40",Road-550-W,Road Bikes,Bikes,605.6492,Yellow
384,"Road-550-W Yellow, 40",Road-550-W,Road Bikes,Bikes,713.0798,Yellow
385,"Road-550-W Yellow, 42",Road-550-W,Road Bikes,Bikes,605.6492,Yellow
386,"Road-550-W Yellow, 42",Road-550-W,Road Bikes,Bikes,713.0798,Yellow
387,"Road-550-W Yellow, 44",Road-550-W,Road Bikes,Bikes,605.6492,Yellow
388,"Road-550-W Yellow, 44",Road-550-W,Road Bikes,Bikes,713.0798,Yellow
389,"Road-550-W Yellow, 48",Road-550-W,Road Bikes,Bikes,605.6492,Yellow
390,"Road-550-W Yellow, 48",Road-550-W,Road Bikes,Bikes,713.0798,Yellow
391,LL Fork,LL Fork,Forks,Components,65.8097,NA
392,ML Fork,ML Fork,Forks,Components,77.9176,NA
393,HL Fork,HL Fork,Forks,Components,101.8936,NA
394,LL Headset,LL Headset,Headsets,Components,15.1848,NA
395,ML Headset,ML Headset,Headsets,Components,45.4168,NA
396,HL Headset,HL Headset,Headsets,Components,55.3801,NA
410,LL Mountain Front Wheel,LL Mountain Front Wheel,Wheels,Components,26.9708,Black
411,ML Mountain Front Wheel,ML Mountain Front Wheel,Wheels,Components,92.8071,Black
412,HL Mountain Front Wheel,HL Mountain Front Wheel,Wheels,Components,133.2955,Black
413,LL Road Front Wheel,LL Road Front Wheel,Wheels,Components,37.9909,Black
414,ML Road Front Wheel,ML Road Front Wheel,Wheels,Components,110.2829,Black
415,HL Road Front Wheel,HL Road Front Wheel,Wheels,Components,146.5466,Black
416,Touring Front Wheel,Touring Front Wheel,Wheels,Components,96.7964,Black
